appId,title,score,genre,price,free,currency,description,developer,installs
com.ochsner.digitalmedicine,Digital Medicine,4.1666665,Health & Fitness,0,True,USD,"The Digital Medicine app simplifies how you care for your chronic condition—offering a customized experience for members that is intuitive, streamlined, and personalized. Connect with your data, set preferences, and control your health. Easy just got easier.

SEAMLESSLY TRANSMIT READINGS
• Take and send your weight, blood pressure and blood sugar readings to your care team.
• Log your meals easily and get nutritional tips based on what you've logged for the day.

SET PREFERENCES
• Choose when to receive program reminders, whether it’s to submit a reading, review your monthly report, or other relevant program tasks, that best fits your unique schedule.

READING GUIDANCE
• Get in-app guidance on blood pressure and/or blood sugar readings.

DIGITAL COACHING 
• Gain knowledge on your program and health journey through interactive learning missions.  
• Understand your progress through trends and monthly reports in-app. 

EARLY ACCESS
• Gain access to the latest Digital Medicine app features and enhancements.

SUPPORT
• Enjoy guided in-app device setup instructions and watch videos on setting up your device and how to take readings.

Track progress, stay motivated, and feel better with Digital Medicine.

Digital Medicine app is not any substitute for professional healthcare services or advice. Any health related information provided is for informational purposes and should not be used for diagnostic or medical purposes. Always consult a healthcare professional for your health and safety needs.",Ochsner Health System,
com.appex.myhealth,MyHealth-Digital Health Locker,0.0,Health & Fitness,0,True,USD,"MyHealth app is a digital health locker that helps you to digitize, store, and manage your medical reports and body vitals from anywhere in the world. It not only enables you to easily share your medical records with healthcare providers during appointments, with family and friends in cases of medical emergencies.

Beyond merely storing your health records, The MyHealth app allows you to do the following:

1. Manage your family’s health with a “Family Health Account”
2. Identify and manage your genetic health risks with “MyGene”
3. Get “Smart Health Insights” to identify patterns and potential health issues
4. Track essential “Body Vitals”, including blood pressure (BP) and blood sugar levels effortlessly

Additionally, the MyHealth app is ABDM compliant and helps you create your Ayushman Bharat Health Account (ABHA Card) in under 60 seconds.

Download the FREE MyHealth App and begin your Digital Health Journey today.
___________________________________________________________________________
Why should you choose MyHealth app?

❌You can now say goodbye to carrying bulky medical files, health records & prescription notes while visiting the doctor.
❌You no longer need to repeatedly take pictures of the same medical report to share with doctors and healthcare providers over WhatsApp.
❌You can eliminate the possibilities of misdiagnosis and isolated treatments, as your doctor will now be well-informed.
❌You no longer have to worry about losing, misplacing, or damaging your and your family’s health records.

The MyHealth app ensures the sharing of important medical information between patients and physicians happens in a seamless and secured manner, thereby transforming the patient-physician relationship.
___________________________________________________________________________
Are you wondering if the app is safe and secure to store your medical records?

Yes, Absolutely. The MyHealth app is not only approved by the National Health Authority of India but is also HIPAA compliant. This guarantees that patient health information (PHI) is protected from unauthorized access and breaches.

Additionally, the app adheres to HL7 standards, facilitating seamless data exchange between different healthcare systems and providers, resulting in improved care coordination, reduced clinical errors, and more efficient clinical workflows.

Patient privacy is critical to us and we take appropriate security measures to protect your data from being accidentally lost, used, or accessed by unauthorized sources. We DO NOT use your data to:

❌Disclose, sell, rent, or otherwise provide your personal information to other companies.
❌Share your personal information with third parties unless required by law.",Appex Innovation Solutions LLC,
com.cogniss.edinburghinnovations.digitalhealthportal,Digital Health Portal,,Health & Fitness,0,True,USD,"Edinburgh Innovations is the University of Edinburgh’s commercialisation service. Together, we develop innovative ideas and deliver solutions to the world’s biggest medical challenges by connecting academic researchers, patients, clinicians, scientists, partners and state of the art clinical and pre-clinical research facilities at the University. These digital health projects are sponsored by the Wellcome iTPA innovation accelerator at the University of Edinburgh.",Cogniss,
com.healthcarecentral.healthly,HealthLy - Digital Health,4.019608,Medical,0,True,USD,"The BEST NEW health & medication management app!

With HealthLy, you have a health companion & a health dairy continually at your side. Maybe you are fighting a chronic disease, or you need a secure and well-organized tool to track your family’s health data, or maybe you are a caregiver for someone with a chronic condition, finally, there is HealthLy.

Now you have a personal health assistant tracking, organizing, analyzing and managing health and medication data for you and people in your care. It is easy to care for multiple dear people in your life with HealthLy’s multiple profiles feature.

HealthLy provides a secure environment for all your health measurements, health reports and analysis you receive from physicians or labs, and all your personal health information needed to keep you on top of your health care.

PROFILES/ACCOUNT
~ create separate accounts for yourself, your children/family, people in your care, patients or even pets
~ keep important information in one secure place (allergies, chronic conditions, blood type, insurance details, etc.)
~ record health measurements, store documents and reports

THERAPIES OVERVIEW & REMINDERS
~ guided therapy set up
~ drug interactions check & warning
~ create reminders for evenly distributed therapies or therapies with unequal dosage or time period
~ also intended for subcutaneous injection therapies so it includes an application area body map, making sure you don't apply the injection in the same area multiple times consequently
~ scan the medication package and HealthLy will recognize it and show you all the details
~ see the history of all completed or archived therapies
filter out active therapies for one profile or see the full therapy list for multiple profiles on the same screen
~ select an action for any active therapy (take, skip, reschedule, forward)
~ keep track of the medication taken ""as needed"" (PRN meds)
~ calendar overview showing the past and future therapies and appointments all in one place

HEALTH INDICATORS
~ enter the measurements for over 60 lab parameters and health indicators
~ track the measurements movements on a graph
~ send the report to a physician showing the indicator's movement through time
~ easy to see the upper and lower limits for each indicator

APPOINTMENTS & DOCUMENTS
~ keep track of every doctor’s appointment you or your family member had
~ add multiple documents to each appointment
~ filter all appointments by each different profile and track the information according to the medical specialty

HealthLy is FREE to download and use and contains no ads. It is perfect for individuals, families, caretakers and medical professionals. With a premium subscription, you will have access to unlimited profiles, health indicators, reports, data backup, etc.

HealthLy does not provide medical advice, diagnosis or treatment. Always seek the advice of your physician or other qualified health providers with any questions you may have regarding your medications or a medical condition.
Subscriptions will be charged to your credit card through your account. Your subscription will automatically renew at your monthly or annual rate unless canceled at least 24 hours before the end of the current period. You will not be able to cancel a subscription during the active period. You can manage your subscriptions and auto-renewal settings in the Account Settings after purchase.",HealthCare Central Co.,
com.FlexCare.app,FlexCare Digital Health,2.0,Health & Fitness,0,True,USD,"FlexCare is a Digital Health provider offering members 24/7/365 access to Telemedicine, TeleDentistry, TeleSpine, Dermatology, Behavioral Health, Companion/Caregiver and other programs via text, phone or online video—whenever they need it, from wherever they are. Our U.S. board-certified providers can diagnose, recommend treatment, and write short-term, non DEA prescriptions, when appropriate.",FlexCare. LLC,
com.myhealthchampion.mobile,Calcium Digital Health AI,3.372549,Medical,0,True,USD,"Manage health care, track your symptoms, enable remote monitoring and control your family’s health and medical data with Calcium. Take health care into your own hands with control over all your health, medical and fitness records.

Download Calcium today to get your no-cost “early adopter"" access.

Calcium is a health & medical app that pulls in your health data from hospitals & health systems – and many of the top fitness and medical devices (including Fitbit and Apple Health). The medical app provides an array of tools that leverages your data to get healthier, manage your healthcare costs and take control of your healthcare journey and destiny.

Use the medicine tracker, record symptoms and note your conditions automatically or in your private medical journal. From personal health to medical records, Calcium provides control and tools designed to empower families and individuals to finally control their health decisions and destiny.

The Calcium app is designed also empower caregivers – whether you’re a parent or the adult child of seniors with special health needs. Care for elderly parents with chronic conditions or young kids learning to manage childhood conditions like asthma, allergies or diabetes.

Monitor prescriptions for your elder parent’s medication, track symptoms, manage your child’s treatment and follow their progress through one of our personalized health pathways. Plus, health observations and concerns can be recoded securely in the private journal.

Calcium gives you control over your health. From medication to managing symptoms, personal care is back in your hands.

<b>Calcium Features:</b>

Personal Health Pathways
- Health improvement programs are clinically designed and personalized
- Health data can be recorded manually and wirelessly
- Access our growing library of clinically designed health improvement pathways
- Personal health care pathways are designed by medical, health and wellness professionals
- Personalized health care programs to achieve your specific health goals – whether it’s losing 5 pounds, managing your child’s asthma or helping your elderly parent recover from a procedure

Care For Your Family
- Healthy living & care for your elderly parents or young children
- Track medicine, conditions and treatment for your family
- Track health, symptoms and medical progress, such as temperature and blood pressure

Recover Faster
- Calcium works with hospitals and surgery centers to improve patient care before and after procedures
- Let health care managers know how to best speed your recovery
- Medical providers can use Calcium for pre- and post-operation care

Health Data Stays Protected
- Health-related data is gathered from various apps, devices and the Internet of Things (IoT)
- Calcium gathers medical records & tracking data in a secure cloud-based environment
- Medical records stay secure and protected

Fitness Tracker Data
- Add tracking data from many leading fitness devices, including:
- Fitbit, Garmin, Withings, Omron, ActivLIFE, Apple Health, Bewell Connect, Boltt, Epson, iHealth, Kiqplan, Life Fitness, Lifetrak, Lumo, Mindful Meal, Misfit, Movable, MyFitnessPal, PearSports, Personalabs, Polar, Precor, Runkeeper, StepsCount, Strava, Striiv, Suunto, Swimtag, TomTom, Under Armour, and VitaDock

Medical Devices
- Collect and track data from top medical and vitals tracking devices, including:
-  Fitbit, Garmin, Omron, Withings (Nokia), AsthmaMD, Bewell Connect, BodiMetrics, Body Trace, Emfit, FatSecret, Foracare, Healthbot, Higi, iGlucose, iHealth, iProven, Kiqplan, Misfit, MyDario, Ozmo, PredictBGL (ManageBGL), Qardio, RxCheck, Sleepimage, Telcare, and VitaDock

We invite you to shape the future of consumer-driven health by becoming part of our community.
To get started, just download our free app today.",Calcium LLC,
events.grip.dhf1007,DIGITAL HEALTH FESTIVAL 2025,,Business,0,True,USD,"The official Event App for Digital Health Festival 2025 aka DHF25. We create spaces for magic to happen, bringing together a disconnected health ecosystem for two feverish days of learning, networking, deal making and fun. It's a meeting of the greatest minds in healthcare.",Digital Health Festival,
com.yourdhs.app,Digital Healthcare Solutions,2.142857,Health & Fitness,0,True,USD,Remote Therapeutic Monitoring allows healthcare providers to better engage with their patients after they are sent home from an office or hospital. The goal of RTM is to help patients recover quicker and improve outcomes from their medical treatment.,Digital Healthcare Solutions LLC,
epic.mychart.android,MyChart,4.564499,Medical,0,True,USD,"MyChart puts your health information in the palm of your hand and helps you conveniently manage care for yourself and your family members. With MyChart you can:

•	Communicate with your care team.
•	Review test results, medications, immunization history, and other health information.
•	Connect your account to Google Fit to pull health-related data from your personal devices right into MyChart.
•	View your After Visit Summary® for past visits and hospital stays, along with any clinical notes your provider has recorded and shared with you.
•	Schedule and manage appointments, including in-person visits and video visits.
•	Get price estimates for the cost of care.
•	View and pay your medical bills.
•	Securely share your medical record from anywhere with anyone who has Internet access.
•	Connect your accounts from other healthcare organizations so you can see all your health information in one place, even if you've been seen at multiple healthcare organizations.
•	Receive push notifications when new information is available in MyChart. You can check whether push notifications are enabled under the Account Settings within the app.

Note that what you can see and do within the MyChart app depends on which features your healthcare organization has enabled and whether they’re using the latest version of Epic software. If you have questions about what’s available, contact your healthcare organization.

To access MyChart, you must create an account with your healthcare organization. To sign up for an account, download the app and search for your healthcare organization or go to your healthcare organization’s MyChart website. After you’ve signed up, turn on fingerprint authentication or set up a four-digit passcode to quickly log in without needing to use your MyChart username and password each time. 
  
For more information about MyChart’s features or to find a healthcare organization that offers MyChart, visit www.mychart.com.

Have feedback about the app? Email us at mychartsupport@epic.com.",Epic Systems Corporation,
com.dha.academy,Academy of Digital Health,,Education,0,True,USD,"Academy of Digital Health Sciences (formerly Digital Health Academy) was
founded in 2019 to equip clinicians and healthcare professionals and frontline health
workers on Digital Health and to create the Digital health leaders of tomorrow who would
lead the digital transformation of healthcare. The Academy works with the world’s top-most
leaders, corporates and institutions to provide application-oriented knowledge in Digital
health. This is the first institution in the world to offer proprietary “Certified Digital Health
Professional” certificate. The institution will remain at the forefront to create the future-
ready workforce for healthcare.",Digital Health Associates,
